GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "00000","United States *", ,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",1,"...","All industry total",577806000,603105000,628376000,662716000,668980000,718634000,756559000,821712000,881527000,945573000,982245000,997183000,968471000,1007266000,1043716000,1078078000,1128943000,1182806000,1212638000,1241900000,1285876000
 "00000","United States *", ,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",2,"..."," Private industries",591620816,615012009,640407856,674236285,681555617,733345140,772152456,838249079,898499254,963071320,1000931600,1017569179,990980166,1028050612,1066436825,1100596315,1153512735,1207961091,1237082000,1267719000,1311092000
 "00000","United States *", ,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",3,"11","  Agriculture, forestry, fishing and hunting",-1100070,-5546695,-13008348,-14466771,-14526183,-5068295,-8045812,-4845823,-14520272,-6468467,-2560639,-1577110,-1813581,-1530622,715566,1078691,1344388,3544220,1716000,-1094000,1141000
 "00000","United States *", ,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",4,"111-112","   Farms",-1921392,-6321448,-13832973,-15333702,-15358186,-5870247,-8945829,-5765832,-15569251,-7618460,-3877637,-3196106,-3087600,-3000588,-920445,-541707,-379921,1830657,151000,-2653000,-506000
 "00000","United States *", ,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",821322,774753,824625,866931,832004,801952,900017,920009,1048979,1149993,1316997,1618996,1274019,1469966,1636011,1620399,1724309,1713563,1565000,1559000,1647000
 "00000","United States *", ,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",12969538,12214917,12011203,14452993,14886928,14697094,17167857,20347160,26148161,30099011,33753076,42434886,29798190,33230170,37913990,40301615,41932818,44091877,35860000,33224000,35659000
 "00000","United States *", ,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",7,"211","   Oil and gas extraction",9234298,8516536,8272978,10537660,11122913,11148097,13297886,16167133,21234149,24701998,27782082,35893914,23812161,26479137,30009930,32002646,33404429,35482751,28513000,26088000,28065000
 "00000","United States *", ,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",8,"212","   Mining (except oil and gas)",3043069,2982014,3020679,3154125,3071016,2810987,3099986,3333013,3887004,4174010,4550990,4923996,4340014,5036018,5992083,5962886,6296621,6222386,5080000,4872000,5233000
 "00000","United States *", ,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",9,"213","   Support activities for mining",692171,716367,717546,761208,693000,738009,769986,847014,1027008,1223003,1420004,1616976,1646014,1715015,1911978,2336082,2231769,2386741,2267000,2264000,2360000
 "00000","United States *", ,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",10,"22","  Utilities",31759311,32346774,33560158,35124598,27890867,36437795,38752009,41156206,43928949,48122930,51593008,53478055,55139431,56854928,58040998,58914852,59322518,60247278,60662000,62599000,63827000
 "00000","United States *", ,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",11,"23","  Construction",4242874,4768294,5222160,5593172,5656238,6065536,6308097,7190095,7985724,8258038,8289899,7836749,7347012,7228019,7235834,7492863,7954321,8306641,8836000,9272000,9681000
 "00000","United States *", ,SAGDP3N,"Taxes on production and imports less subsidies","Thousands of dollars",12,"31-33","  Manufacturing",41144611,42425941,43812255,46925689,49059960,51617421,53656474,56263541,59584861,61598174,64279825,65444905,75278971,76202676,78802939,79136997,84370139,84512628,85474000,85011000,87554000
